StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
EST-0074,16,0,0,4,16.6,22,1,3,0,1,0,0,3.46,1
EST-0075,15,1,0,4,17.4,10,0,1,1,0,0,0,3.25,1
EST-0076,16,0,0,4,18.5,0,1,1,1,0,1,0,4.0,0
EST-0077,18,0,1,3,6.8,1,1,3,0,1,1,1,3.48,1
EST-0078,18,1,1,4,18.3,16,0,4,0,1,0,1,3.82,0
EST-0079,17,1,0,1,7.8,4,1,2,0,1,0,0,3.13,1
EST-0080,18,1,3,2,11.9,5,1,2,0,1,0,1,3.78,0
EST-0081,17,0,3,2,2.9,24,1,2,1,1,1,0,1.72,4
EST-0082,18,1,2,3,2.8,23,0,2,1,1,0,1,1.71,4
EST-0083,15,1,1,2,15.0,6,0,3,0,1,1,1,3.04,1
EST-0084,18,0,2,1,10.0,20,1,3,0,1,1,1,3.1,1
EST-0085,17,1,0,3,6.6,14,1,1,1,1,0,0,2.3,3
EST-0086,17,1,2,4,5.4,18,0,2,1,0,0,0,2.04,3
EST-0087,16,1,0,2,14.1,15,0,3,0,1,1,1,2.72,2
EST-0088,15,0,2,1,2.0,24,1,2,1,0,0,0,1.59,4
EST-0089,18,0,0,1,16.5,12,0,3,1,0,0,0,3.35,1
EST-0090,16,0,2,1,3.4,4,0,1,0,1,1,1,2.18,3
EST-0091,18,0,3,2,5.4,2,1,3,0,1,0,0,3.85,0
EST-0092,18,1,0,3,9.0,2,0,1,0,0,1,0,2.67,2
EST-0093,16,0,1,3,10.7,18,0,3,0,0,1,1,2.63,2
EST-0094,16,0,3,3,8.4,13,0,2,1,1,0,1,2.22,3
EST-0095,16,1,1,2,7.8,15,1,2,0,0,1,1,2.85,2
EST-0096,16,1,2,4,19.4,21,0,3,1,1,1,1,3.11,1
EST-0097,16,1,1,1,13.5,16,1,1,1,1,0,0,2.75,2
EST-0098,18,0,0,2,2.4,3,0,2,1,0,1,0,2.98,2
EST-0099,16,0,0,4,9.7,12,0,2,1,1,0,1,2.51,2
EST-0100,15,0,0,1,17.8,7,1,2,0,0,1,1,3.92,0
EST-0101,17,1,2,1,7.4,18,1,4,1,1,1,0,2.34,3
EST-0102,16,1,0,4,3.7,4,1,3,0,1,1,0,3.31,1
EST-0103,16,0,1,2,15.7,1,1,1,1,0,1,0,3.34,1
EST-0104,18,1,1,3,12.9,14,0,3,0,0,1,1,2.65,2
EST-0105,16,1,1,0,12.3,1,1,2,1,1,1,1,3.47,1
EST-0106,16,1,2,3,3.0,10,1,4,1,1,1,1,3.67,0
EST-0107,16,0,3,2,4.5,12,1,2,0,0,0,1,2.65,2
EST-0108,18,1,1,1,13.2,22,0,3,0,1,1,0,3.0,1
EST-0109,16,1,2,3,5.7,9,0,2,0,0,0,1,2.63,2
EST-0110,17,0,2,1,11.1,2,1,2,0,0,1,1,3.31,1
EST-0111,18,0,1,2,11.8,4,1,2,1,0,1,0,4.0,0
EST-0112,17,1,3,1,7.1,2,1,2,1,1,0,1,3.36,1
EST-0113,18,1,0,1,19.1,5,1,3,1,0,0,0,3.74,0
EST-0114,16,0,0,2,17.2,12,0,2,1,1,0,1,3.28,1
EST-0115,17,0,2,1,15.0,9,1,4,1,0,1,0,3.51,0
EST-0116,18,1,1,4,3.4,18,0,2,0,1,0,0,1.23,4
EST-0117,15,1,2,0,3.9,7,1,3,0,1,1,0,3.11,1
EST-0118,16,1,2,2,10.9,17,1,4,1,0,1,1,3.48,1
EST-0119,18,1,0,1,4.9,2,0,3,0,0,0,1,3.49,1
EST-0120,15,0,2,2,19.6,23,1,4,1,0,1,1,3.52,0
EST-0121,18,1,1,4,4.9,23,1,3,1,1,0,1,2.3,3
EST-0122,15,1,1,1,10.8,16,1,2,0,1,0,1,3.08,1
EST-0123,16,0,1,4,8.6,7,1,3,1,1,0,1,3.8,0
EST-0124,17,1,3,1,13.5,9,0,1,0,0,0,0,3.42,1
EST-0125,15,0,0,3,4.3,1,1,2,1,0,1,1,3.22,1
EST-0126,18,1,1,3,9.7,11,1,2,0,0,1,1,3.05,1
EST-0127,16,1,1,4,6.9,22,0,3,1,0,0,0,1.91,4
EST-0128,15,0,2,3,18.0,5,1,2,1,0,0,0,4.0,0
EST-0129,18,0,1,3,2.7,1,0,2,0,1,1,1,2.11,3
EST-0130,18,1,0,1,18.4,20,1,2,1,0,1,0,3.39,1
EST-0131,18,1,0,1,17.0,22,1,4,1,1,0,1,3.36,1
EST-0132,15,1,0,4,7.4,23,1,1,0,0,1,0,2.57,2
EST-0133,15,0,2,2,16.2,2,0,0,0,0,1,1,3.34,1
EST-0134,15,1,0,2,2.6,16,0,2,0,0,1,0,2.49,3
EST-0135,17,0,0,3,19.4,6,1,4,1,0,1,0,4.0,0
EST-0136,15,0,3,2,11.5,20,0,4,0,0,0,1,2.29,3
EST-0137,15,1,0,4,7.5,4,1,3,0,1,1,1,3.3,1
EST-0138,15,0,3,3,8.5,22,0,4,0,0,0,0,1.97,4
EST-0139,17,1,1,3,3.2,0,1,2,1,1,0,0,3.43,1
EST-0140,15,1,2,4,19.8,7,0,4,0,1,0,0,3.57,0
EST-0141,18,1,0,0,2.7,11,1,1,1,1,1,0,2.64,2
EST-0142,15,1,0,2,13.8,13,0,1,1,1,1,1,3.22,1
EST-0143,18,1,2,2,10.0,15,0,1,0,0,0,0,1.97,4
EST-0144,18,0,2,1,19.1,9,0,3,1,0,1,0,3.32,1
EST-0145,18,0,2,3,6.4,14,0,3,1,0,0,1,2.46,3
EST-0146,17,1,0,4,11.6,20,1,2,1,0,0,1,3.26,1
EST-0147,17,1,2,2,10.7,23,1,4,1,0,1,1,3.37,1
EST-0148,17,0,2,2,14.7,14,0,2,1,1,1,1,2.14,3
EST-0149,15,0,1,4,3.2,9,1,1,0,0,1,1,2.62,2
EST-0150,18,0,2,2,5.5,20,0,2,0,0,0,1,1.77,4
EST-0151,17,0,2,2,5.9,6,1,3,0,1,0,0,2.56,2
EST-0152,17,1,1,2,15.3,2,0,3,1,0,1,0,3.39,1
EST-0153,15,1,0,4,5.4,1,1,2,0,0,0,0,3.59,0
EST-0154,17,0,1,3,12.3,5,1,3,1,1,0,1,3.61,0
EST-0155,15,1,0,3,5.9,20,0,2,1,0,0,1,1.39,4
EST-0156,16,0,1,4,17.5,8,0,3,1,1,1,0,4.0,0
EST-0157,17,1,1,2,19.0,9,0,4,1,1,1,0,3.72,0
EST-0158,16,0,0,2,11.3,3,0,0,0,0,1,1,2.94,2
EST-0159,15,1,0,4,8.3,2,0,4,1,1,0,1,2.97,2
EST-0160,18,0,0,2,6.2,8,1,3,0,0,1,0,3.15,1
EST-0161,17,0,2,3,2.9,23,0,2,0,0,0,0,1.58,4
EST-0162,15,1,3,4,6.8,21,1,4,1,0,0,0,2.0,3
EST-0163,18,0,0,3,13.8,16,0,2,0,1,0,0,2.33,3
EST-0164,18,1,3,3,11.6,13,1,2,0,1,1,0,3.47,1
EST-0165,16,1,1,4,19.0,9,1,1,0,1,0,1,4.0,0
EST-0166,15,0,0,4,9.1,12,0,2,1,1,1,0,2.87,2
EST-0167,18,1,0,2,14.5,11,0,3,1,1,0,0,3.52,0
EST-0168,17,1,1,1,10.8,0,1,3,1,1,1,1,3.6,0
EST-0169,17,1,2,2,11.2,21,1,4,0,1,1,0,2.83,2
EST-0170,16,1,2,3,6.8,18,0,2,0,1,1,1,2.6,2
EST-0171,18,1,0,2,10.2,18,1,1,1,1,1,1,3.25,1
EST-0172,15,0,0,3,10.5,5,1,0,1,1,1,0,3.76,0
EST-0173,17,1,1,2,14.7,12,1,2,0,1,1,0,2.89,2
EST-0174,18,1,0,3,18.9,18,1,4,1,0,1,1,3.63,0
EST-0175,18,1,0,1,7.9,12,1,3,1,1,1,1,2.97,2
EST-0176,16,1,0,3,2.8,21,1,2,0,0,0,1,2.03,3
EST-0177,17,1,2,3,10.9,20,0,4,0,0,0,0,2.75,2
EST-0178,17,0,3,1,11.8,3,0,3,1,0,0,0,3.51,0
EST-0179,15,1,1,2,5.0,23,0,0,1,0,0,0,1.85,4
EST-0180,17,0,3,3,15.7,1,0,3,1,1,0,0,4.0,0
EST-0181,15,0,0,2,19.7,14,1,2,1,0,1,0,3.44,1
EST-0182,17,0,1,1,19.0,11,0,1,0,0,1,1,2.5,2
EST-0183,16,0,0,4,5.5,6,1,2,1,0,1,0,3.32,1
EST-0184,17,1,1,3,17.8,19,1,2,1,1,1,0,4.0,0
EST-0185,15,0,3,4,14.7,17,0,2,0,0,1,1,2.68,2
EST-0186,15,0,1,2,10.2,22,0,2,0,0,0,0,2.38,3
EST-0187,16,1,0,2,11.7,12,1,1,0,1,0,0,3.27,1
EST-0188,17,1,1,4,17.3,16,0,3,0,1,1,0,3.3,1
EST-0189,17,1,0,3,10.6,3,0,4,0,1,0,1,3.42,1
EST-0190,16,0,2,3,8.7,24,1,3,0,1,0,1,2.15,3
EST-0191,17,1,1,2,10.9,13,1,2,0,1,1,0,2.09,3
EST-0192,17,1,1,2,12.4,19,1,2,1,1,1,0,2.36,3
EST-0193,15,0,1,1,5.4,12,1,2,1,1,0,0,2.41,3
EST-0194,17,1,1,1,18.2,2,1,1,0,1,0,1,4.0,0
EST-0195,17,1,0,0,14.1,17,1,3,1,1,1,1,2.91,2
EST-0196,16,1,1,0,13.4,13,0,3,1,0,0,0,2.49,3
EST-0197,16,1,0,4,3.8,14,0,3,0,1,1,0,2.02,3
EST-0198,18,0,2,1,12.9,2,0,3,0,0,0,0,3.58,0
EST-0199,15,1,2,3,4.2,0,1,2,0,0,0,0,3.83,0
EST-0200,17,1,2,4,3.4,23,1,2,0,1,1,1,2.6,2
EST-0201,17,0,1,3,11.5,16,0,3,0,1,0,1,2.96,2
EST-0202,18,1,1,1,9.3,2,0,2,1,1,1,0,2.35,3
EST-0203,17,0,0,3,12.6,13,0,2,1,1,0,1,2.68,2
EST-0204,15,1,2,3,3.6,2,1,2,0,0,0,1,3.92,0
EST-0205,18,0,0,3,9.8,12,0,2,0,0,1,0,3.12,1
EST-0206,15,0,1,3,5.1,14,0,1,1,1,0,0,1.51,4
EST-0207,18,0,0,4,19.8,17,0,3,1,0,1,0,3.32,1
EST-0208,18,0,0,3,12.1,13,1,4,1,1,1,0,3.57,0
EST-0209,16,1,1,2,14.4,20,0,2,0,0,0,1,2.19,3
EST-0210,15,0,0,3,7.9,2,0,1,0,0,1,0,2.0,3
EST-0211,17,1,2,1,3.7,18,1,3,1,1,1,0,2.31,3
EST-0212,17,0,0,4,19.6,7,1,2,0,1,1,0,3.8,0
EST-0213,15,0,0,1,7.2,3,1,2,1,0,0,0,2.83,2
EST-0214,17,0,1,2,9.6,3,1,1,0,1,1,1,3.15,1
EST-0215,17,1,0,4,13.7,18,1,2,0,0,1,0,3.1,1
EST-0216,15,0,0,3,2.4,10,0,3,1,1,0,0,2.37,3
EST-0217,18,1,2,2,16.6,0,0,3,1,1,1,1,3.42,1
EST-0218,15,1,0,2,11.7,7,1,2,0,1,1,0,3.27,1
EST-0219,18,1,2,4,7.0,14,1,2,1,1,1,0,2.18,3
EST-0220,17,1,0,2,3.1,0,1,1,0,1,0,0,3.11,1
EST-0221,17,1,0,4,4.9,6,1,1,1,1,0,1,1.87,4
EST-0222,17,1,2,1,18.1,20,0,4,1,1,0,0,2.78,2
EST-0223,16,1,0,3,14.3,19,0,3,0,0,0,0,3.13,1
EST-0224,18,1,0,4,6.5,19,1,2,0,1,0,0,2.17,3
EST-0225,16,1,0,1,3.2,23,1,3,0,0,0,1,2.27,3
EST-0226,16,0,0,2,14.4,10,1,3,1,1,1,0,3.98,0
EST-0227,15,0,2,1,12.3,13,1,3,1,0,0,0,1.8,4
EST-0228,16,0,0,3,9.3,21,0,0,0,1,0,0,1.89,4
EST-0229,15,0,2,3,8.5,15,1,1,1,1,0,1,1.56,4
EST-0230,15,0,2,3,5.9,13,1,3,0,0,0,1,2.83,2
EST-0231,16,1,1,1,14.1,11,0,2,0,1,1,0,2.82,2
EST-0232,18,1,3,1,19.5,16,1,4,0,1,1,0,2.6,2
EST-0233,18,1,0,0,5.2,13,0,3,0,1,0,1,2.89,2
EST-0234,18,1,3,2,12.7,9,1,4,0,1,1,0,3.68,0
EST-0235,18,1,0,3,9.6,23,1,2,1,1,0,1,2.17,3
EST-0236,18,1,1,4,10.0,13,0,4,1,0,1,1,3.57,0
EST-0237,16,1,1,3,6.6,17,1,2,0,1,0,1,1.88,4
EST-0238,16,0,0,2,16.9,21,0,4,1,0,0,0,2.37,3
EST-0239,17,0,1,4,10.7,8,0,1,0,0,0,1,2.0,3
EST-0240,18,0,2,3,11.8,16,0,2,1,0,0,1,3.34,1
EST-0241,16,0,0,4,7.5,5,1,3,1,0,1,0,3.62,0
EST-0242,17,1,0,3,5.3,7,1,2,0,0,0,0,3.27,1
EST-0243,18,1,2,2,3.5,12,0,2,1,0,1,0,2.26,3
EST-0244,15,1,1,1,14.9,17,1,4,0,0,1,1,3.45,1
EST-0245,17,0,3,3,5.5,4,1,2,1,0,1,1,3.21,1
EST-0246,16,1,2,1,14.4,5,1,3,0,1,0,0,3.78,0
EST-0247,15,1,3,2,9.0,20,0,1,0,0,1,1,2.04,3
EST-0248,15,1,2,3,9.5,18,0,3,0,1,1,0,2.23,3
EST-0249,15,0,0,3,10.4,3,1,3,0,0,1,0,3.67,0
EST-0250,17,1,0,3,8.6,6,0,2,0,0,0,0,3.0,1
EST-0251,16,0,2,1,3.8,3,1,0,0,1,1,0,2.71,2
EST-0252,15,0,1,2,7.6,24,1,3,1,0,0,0,1.75,4
EST-0253,18,0,0,3,13.9,10,1,0,0,1,1,1,2.69,2
EST-0254,15,0,0,4,14.0,11,0,0,1,0,1,1,3.31,1
EST-0255,15,1,3,3,7.2,13,0,3,0,1,0,0,2.44,3
EST-0256,17,0,1,4,10.3,12,1,1,1,1,0,1,3.32,1
EST-0257,17,0,1,3,5.5,9,0,1,0,0,1,1,1.97,4
EST-0258,16,1,1,3,5.8,17,1,3,0,0,0,0,2.08,3
EST-0259,18,1,0,1,2.4,15,0,1,1,0,1,1,1.35,4
EST-0260,17,0,0,3,18.1,4,0,2,0,0,1,1,3.57,0
EST-0261,15,1,0,3,5.8,7,0,1,0,1,0,0,2.26,3
EST-0262,16,0,0,3,6.1,13,1,3,0,1,0,1,3.4,1
EST-0263,15,0,2,2,7.0,4,1,3,0,1,0,1,3.37,1
EST-0264,15,0,1,3,4.3,23,1,3,1,1,1,1,3.0,1
EST-0265,17,0,2,2,13.5,7,0,2,0,1,1,1,3.25,1
EST-0266,16,1,2,3,3.4,24,1,1,1,1,1,1,0.94,4
EST-0267,18,0,0,1,4.4,5,1,1,0,1,0,0,3.15,1
EST-0268,18,1,1,4,13.6,15,1,2,0,0,0,0,2.69,2
EST-0269,17,1,1,1,8.1,3,1,4,0,0,0,0,3.54,0
EST-0270,17,1,2,1,14.7,11,0,2,0,0,1,0,2.56,2
EST-0271,16,1,0,2,12.0,10,0,2,1,0,0,0,3.69,0
EST-0272,18,0,1,3,6.6,2,1,1,0,0,0,1,3.81,0
EST-0273,18,1,1,2,13.7,11,0,3,0,0,1,1,2.72,2
EST-0274,18,0,0,2,4.1,4,0,3,0,0,0,0,2.65,2
EST-0275,15,1,0,3,11.7,5,0,3,1,0,0,0,3.38,1
EST-0276,18,1,1,2,9.9,18,0,4,1,1,1,0,2.87,2
EST-0277,15,0,2,4,6.8,17,0,2,1,0,1,1,2.33,3
EST-0278,16,0,0,4,12.9,15,1,1,1,0,1,1,2.71,2
EST-0279,15,0,1,3,17.7,22,0,2,0,0,1,1,2.44,3
EST-0280,16,1,0,2,20.0,10,1,3,0,1,1,1,3.91,0
EST-0281,18,1,2,3,12.9,4,1,3,1,0,1,1,4.0,0
EST-0282,18,0,0,0,9.3,8,1,2,0,1,0,1,3.11,1
EST-0283,16,0,2,2,6.1,2,0,3,0,1,0,0,2.63,2
EST-0284,17,0,0,2,6.6,7,0,3,1,0,1,1,2.98,2
EST-0285,16,0,0,4,10.6,5,0,4,0,1,1,0,3.27,1
EST-0286,17,1,0,0,8.6,3,0,3,1,0,0,0,3.22,1
EST-0287,15,0,0,3,18.4,11,1,3,1,0,1,1,4.0,0
EST-0288,15,0,1,3,8.6,11,1,2,1,0,1,1,2.9,2
EST-0289,15,0,0,2,8.7,24,1,3,1,1,0,1,2.74,2
EST-0290,18,0,2,1,8.9,20,0,4,1,0,0,1,1.95,4
EST-0291,15,1,0,4,17.1,15,1,2,1,0,1,1,3.49,1
EST-0292,17,0,0,3,13.7,9,1,3,0,0,1,1,3.63,0
EST-0293,15,1,0,3,13.1,21,1,3,0,1,0,1,2.9,2
EST-0294,16,0,0,1,8.0,13,0,1,0,1,1,1,3.17,1
EST-0295,16,0,0,2,16.7,12,1,3,1,1,0,0,3.46,1
EST-0296,18,1,1,2,2.7,8,1,1,1,1,0,0,2.79,2
EST-0297,16,0,1,1,17.7,6,0,4,1,0,1,1,2.8,2
EST-0298,17,1,1,1,11.2,11,1,3,0,0,0,0,3.32,1
EST-0299,15,1,1,4,9.2,4,0,1,0,1,0,1,3.47,1
EST-0300,18,0,1,1,10.9,17,1,1,1,0,0,0,2.37,3
EST-0301,15,1,0,1,14.0,3,0,3,1,1,1,0,2.34,3
EST-0302,15,1,1,3,2.2,1,0,2,1,0,1,1,2.68,2
EST-0303,17,1,3,3,17.7,2,0,0,1,0,1,1,3.5,0
EST-0304,16,1,1,1,10.0,11,1,2,1,1,0,1,3.23,1
EST-0305,16,1,1,3,8.2,2,1,2,0,1,0,0,4.0,0
EST-0306,15,1,0,1,4.5,3,0,1,1,0,1,0,2.28,3
EST-0307,18,1,2,0,9.9,5,0,3,1,1,0,1,2.51,2
EST-0308,16,1,2,1,10.9,11,0,4,1,0,0,0,2.38,3
EST-0309,18,0,1,4,9.3,18,0,3,1,0,1,1,2.64,2
EST-0310,16,0,3,1,14.2,9,0,3,0,0,0,0,3.25,1
EST-0311,18,1,0,0,9.6,0,0,2,1,0,0,1,2.74,2
EST-0312,17,0,0,2,19.3,16,0,2,1,1,0,0,3.35,1
EST-0313,18,1,2,4,12.8,15,0,2,1,0,0,1,3.02,1
EST-0314,17,1,2,2,16.5,8,0,3,0,0,0,1,3.38,1
EST-0315,17,0,0,2,4.0,24,0,4,1,0,0,1,1.45,4
EST-0316,18,1,0,0,9.2,20,0,3,0,1,1,0,1.86,4
EST-0317,17,1,0,2,8.1,8,0,4,1,0,1,1,1.93,4
EST-0318,15,1,0,3,12.3,22,1,3,1,1,0,0,2.97,2
EST-0319,17,1,2,3,17.5,8,0,2,1,1,1,1,3.43,1
EST-0320,16,0,1,2,3.4,11,1,2,1,1,1,1,2.65,2
EST-0321,18,1,0,2,3.3,22,1,1,1,1,1,1,2.1,3
EST-0322,15,1,0,1,17.3,8,1,0,1,1,0,0,3.52,0
EST-0323,18,1,0,2,5.8,14,0,3,1,1,1,0,2.27,3
EST-0324,16,0,0,1,14.0,1,1,2,1,1,0,0,3.74,0
EST-0325,16,1,1,3,11.8,10,0,3,1,0,1,1,2.47,3
EST-0326,16,0,3,4,17.0,10,1,3,0,0,1,0,3.67,0
EST-0327,17,0,2,4,4.3,7,0,2,0,1,0,1,2.66,2
EST-0328,17,1,0,4,4.3,22,0,2,0,1,1,1,1.6,4
EST-0329,18,1,2,3,12.0,5,1,2,0,1,0,1,3.92,0
EST-0330,18,0,2,3,19.0,20,1,2,1,0,1,1,3.06,1
EST-0331,15,1,2,2,9.5,19,0,3,1,1,1,1,2.41,3
EST-0332,15,0,1,3,7.9,6,1,2,0,0,1,0,3.29,1
EST-0333,18,0,0,2,12.9,2,0,3,0,0,1,0,3.71,0
EST-0334,17,1,0,2,18.7,7,0,4,0,1,0,1,4.0,0
EST-0335,16,1,0,3,17.1,17,0,4,0,0,0,1,3.45,1
EST-0336,18,0,0,2,19.9,16,1,4,1,1,1,0,2.88,2
EST-0337,15,0,0,2,2.4,10,0,2,0,1,0,1,2.64,2
EST-0338,17,0,1,4,4.0,1,0,0,1,1,1,1,3.29,1
EST-0339,18,0,2,1,13.0,24,0,2,1,0,0,1,1.91,4
EST-0340,18,1,1,2,16.8,20,0,2,1,1,0,1,2.76,2
EST-0341,17,1,0,4,7.1,23,1,4,0,0,0,0,2.32,3
EST-0342,18,1,3,3,6.3,18,1,3,0,1,1,1,1.87,4
EST-0343,17,1,3,3,16.2,6,1,1,1,1,0,0,3.41,1
EST-0344,16,1,2,1,3.0,17,1,1,0,1,0,0,1.81,4
EST-0345,17,0,3,2,8.6,7,0,1,0,1,1,0,2.48,3
EST-0346,17,1,1,4,11.1,13,0,3,1,1,1,0,2.55,2
EST-0347,17,1,3,3,12.1,6,0,3,1,0,1,1,2.96,2
EST-0348,18,1,0,3,15.1,20,0,4,0,1,0,1,2.88,2
EST-0349,18,1,0,1,8.4,3,0,4,1,1,0,1,2.76,2
EST-0350,17,1,0,0,13.0,16,0,2,0,1,0,0,2.62,2
EST-0351,18,0,0,4,12.5,4,1,2,0,0,0,0,4.0,0
EST-0352,15,0,0,2,11.9,11,0,2,1,1,0,0,3.73,0
EST-0353,15,0,1,3,13.5,8,0,2,1,1,0,1,3.59,0
EST-0354,18,1,2,1,6.7,19,0,4,0,1,1,1,2.25,3
EST-0355,18,0,1,3,3.5,12,1,3,1,1,0,1,2.51,2
EST-0356,17,0,0,4,4.1,24,0,3,0,0,0,0,2.01,3
EST-0357,16,1,2,3,6.0,17,0,2,1,1,0,0,2.29,3
EST-0358,18,1,1,1,11.0,19,0,0,0,0,1,1,1.76,4
EST-0359,15,1,0,3,17.1,8,1,1,1,0,0,0,3.98,0
EST-0360,17,0,1,3,14.6,3,0,2,0,0,1,0,2.9,2
EST-0361,18,0,0,2,16.2,20,0,3,0,0,0,1,2.65,2
EST-0362,15,1,0,4,8.3,7,1,2,1,1,1,0,3.54,0
EST-0363,15,1,3,3,9.3,0,0,3,0,1,1,0,3.25,1
